epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,30122.7,1.35404,1.0633,1.23749,0.68436,0.76836,0.75431,0.47539,1.3166,0.95253,1.24383,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,31042.3,1.34971,1.04762,1.23293,0.68731,0.77407,0.75464,0.47577,1.3149,0.95074,1.24234,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,31959.1,1.3469,1.04712,1.23048,0.68876,0.77545,0.75519,0.47639,1.31421,0.94839,1.2415,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,32873.3,1.33566,1.04061,1.22549,0.68994,0.77313,0.75567,0.47758,1.31268,0.94579,1.24056,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,33820.6,1.33203,1.03264,1.227,0.69119,0.77527,0.75581,0.47826,1.31147,0.94382,1.2397,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,34738.8,1.3281,1.02228,1.22166,0.69185,0.77726,0.75624,0.47912,1.31048,0.94209,1.2388,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,35713.1,1.32235,1.01954,1.22009,0.69123,0.77689,0.75675,0.47962,1.30969,0.94067,1.23797,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,36664.6,1.30653,1.0031,1.21165,0.69086,0.77974,0.75703,0.48015,1.30837,0.93843,1.23667,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,37598.2,1.30808,0.9963,1.21032,0.67971,0.78945,0.75758,0.48069,1.30731,0.93502,1.23562,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,38479.9,1.29438,0.88701,1.21839,0.68124,0.7899,0.75803,0.48154,1.306,0.9321,1.23464,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,39356.5,1.28085,0.86802,1.21209,0.67953,0.79218,0.7588,0.48245,1.30458,0.92903,1.23355,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,40230.9,1.27207,0.85637,1.20661,0.67848,0.79309,0.75906,0.48313,1.30332,0.92637,1.23252,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,41122.8,1.26272,0.84487,1.1992,0.68076,0.79346,0.75953,0.48363,1.30205,0.92283,1.23146,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,42016.4,1.261,0.83358,1.19813,0.68176,0.79311,0.75985,0.48453,1.30079,0.91842,1.23049,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,42895.7,1.25084,0.82181,1.19058,0.6864,0.79167,0.76033,0.48524,1.29966,0.91466,1.22939,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,43773.8,1.24225,0.81543,1.18526,0.68602,0.79337,0.76105,0.48591,1.29847,0.91114,1.22846,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,44677.5,1.23226,0.8054,1.18025,0.68964,0.7918,0.76101,0.48618,1.29772,0.90772,1.22775,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,45581.5,1.22929,0.79557,1.17963,0.69059,0.79158,0.76159,0.48734,1.29671,0.90437,1.22683,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,46465.4,1.22181,0.79168,1.17491,0.69249,0.79088,0.762,0.4883,1.29565,0.90083,1.226,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
